SICOM,Vigencia,Estado,CLIENTE,PDS,TIPOLOGÍA DE MERCADO,ZONA,NOMBRE ZONA,DPTO,CIUDAD,LATITUD,LONGITUD,Estación de Servicio,Total Venta,n_eds
634100,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,ESTACION DE SERVICIOS COMBUSTIBLES SAN ANTONIO S.A.S.,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,BOLIVAR,CARTAGENA DE INDIAS,10.387375,-75.511363,SAN ANTONIO,612260674.0,ESTACION DE SERVICIOS COMBUSTIBLES SAN ANTONIO S.A.S.
630255,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LA INDUSTRIA SAS,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 3,INTERIOR DEL PAIS,VALLE DEL CAUCA,FLORIDA,3.346629902443,-76.26459063913,LA INDUSTRIA,448959997.0,EDS LA INDUSTRIA SAS
630749,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS LA 84,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,11.006114210925,-74.817237982304,CALLE 84,2172345968.0,SS LA 84
630750,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS LA 30,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,10.970839309461,-74.779871083449,LA CRECIENTE GNV,42743612.0,SS LA 30
630752,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS PARAISO,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,10.983340549799,-74.786893810662,PARAISO,493051748.0,SS PARAISO
630757,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS PORVENIR,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,10.994279,-74.811377,PORVENIR,883146444.0,SS PORVENIR
630772,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS AUTOMOTRIZ LA TORCOROMA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,PUERTO COLOMBIA,10.99872,-74.936428,AUTOMOTRIZ CARTAGO,323451297.0,EDS AUTOMOTRIZ LA TORCOROMA
630804,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SERVICENTRO ATLANTICO 1,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,BARRANQUILLA,10.981702885374,-74.769968668913,SERVICENTRO ATLANTICO,430464992.0,SERVICENTRO ATLANTICO 1
630826,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS BRISAS DEL MAR I,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,PIOJO,10.771897458927,-75.211127376285,BRISAS DEL MAR 1,297668156.0,EDS BRISAS DEL MAR I
630829,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS CAUJARAL 2,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 1,COSTA NORTE,ATLANTICO,PUERTO COLOMBIA,11.020565627639,-74.871431407184,CAUJARAL,850226201.0,EDS CAUJARAL 2
631112,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS LAS GARZAS,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,ANTIOQUIA,TURBO,8.089448,-76.700959,LAS GARZAS,297306930.0,EDS LAS GARZAS
631165,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS RODEO 1,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,BOLIVAR,TURBACO,10.376074676653,-75.460424917584,EL RODEO,861518615.0,EDS RODEO 1
631219,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS SERVIEZ,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 3,INTERIOR DEL PAIS,BOYACA,PUERTO BOYACA,6.2219966103935,-74.549468659287,SERVICENTRO SERVIEZ,386270558.0,EDS SERVIEZ
631867,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SUPER STATION SEVILLA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,CORDOBA,MONTERIA,8.7836835222101,-75.860626383829,SEVILLA,567094474.0,SUPER STATION SEVILLA
631878,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,EDS PLAZA BONITA,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,CORDOBA,PLANETA RICA,8.2962432668463,-75.524462732209,PLAZA BONITA,513515824.0,EDS PLAZA BONITA
631882,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SUPER ESTACION GUADALUPE,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,CORDOBA,PUEBLO NUEVO,8.5011907932814,-75.5133893895,GUADALUPE,260845128.0,SUPER ESTACION GUADALUPE
631892,BAU-2023,ACTIVA,COMERCIAL AVANADE S.A.S.,SS FLOREZ - SERVICENTRO FLOREZ No 1,ESTACION DE SERVICIO AUTOMOTRIZ,ZONA 2,COSTA SABANA,CORDOBA,SAHAGUN,8.9535537546371,-75.447973342741,FLOREZ,309678871.0,SS FLOREZ - SERVICENTRO FLOREZ No 1
